install_condition: 1 = trenched; 2 = bored; 3 = attached,,,
ch_index,install_condition,easting,northing
1196,1,626194,4273183
1197,1,626193,4273185
1198,1,626192,4273186
1199,1,626190,4273188
1200,1,626189,4273189
1201,1,626188,4273191
1202,1,626187,4273192
1203,1,626185,4273194
1204,1,626184,4273195
1205,1,626183,4273197
1206,1,626182,4273199
1207,1,626180,4273200
1208,1,626179,4273202
1209,1,626178,4273203
1210,1,626177,4273205
1211,1,626175,4273206
1212,1,626174,4273208
1213,1,626173,4273209
1214,1,626171,4273211
1215,1,626170,4273212
1216,1,626169,4273214
1217,1,626167,4273215
1218,1,626166,4273217
1219,1,626165,4273218
1220,1,626164,4273220
1221,1,626162,4273221
1222,1,626161,4273223
1223,1,626160,4273224
1224,1,626158,4273226
1225,1,626157,4273227
1226,1,626156,4273229
1227,1,626154,4273230
1228,1,626153,4273232
1229,1,626152,4273233
1230,1,626150,4273235
1231,1,626149,4273236
1232,1,626148,4273238
1233,1,626146,4273239
1234,1,626145,4273241
